Date,Time,name,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
2024-06-03,20:00,"Kankarbagh, Patna",34.4,42.7,25.1,58.49,0.0,0.0,,0,0,13.7,4.6,120.0,1000.2,60.0,4.0,0,0.0,0,10,Partially cloudy,partly-cloudy-night,"VEPT,42492099999"
2024-06-03,21:00,"Kankarbagh, Patna",35.0,46.7,27.0,63.35,0.0,0.0,,0,0,13.3,7.6,110.0,1001.0,0.0,4.0,0,0.0,0,10,Clear,clear-night,"VEPT,42492099999"
2024-06-03,22:00,"Kankarbagh, Patna",35.0,44.9,26.0,59.73,0.0,0.0,,0,0,16.9,9.4,140.0,1001.0,0.0,4.0,0,0.0,0,10,Clear,clear-night,"VEPT,42492099999"
2024-06-03,23:00,"Kankarbagh, Patna",33.3,40.0,24.2,59.07,0.0,0.0,,0,0,30.2,5.7,130.0,1000.9,0.3,4.0,0,0.0,0,10,Clear,clear-night,"VEPT,42492099999"
2024-06-04,00:00,"Kankarbagh, Patna",34.0,41.9,25.0,59.5,0.0,0.0,,0,0,33.1,3.6,160.0,1000.0,0.0,4.0,0,0.0,0,10,Clear,clear-night,"VEPT,42492099999"
2024-06-04,01:00,"Kankarbagh, Patna",33.0,40.6,25.0,62.93,0.0,0.0,,0,0,32.4,3.6,110.0,1000.0,0.0,4.0,0,0.0,0,3,Clear,clear-night,"VEPT,42492099999"
2024-06-04,02:00,"Kankarbagh, Patna",32.0,40.5,26.0,70.65,0.0,0.0,,0,0,32.4,9.4,70.0,1000.0,0.0,4.0,0,0.0,0,3,Clear,clear-night,VEPT
2024-06-04,03:00,"Kankarbagh, Patna",32.0,44.1,28.0,79.46,0.0,0.0,,0,0,28.8,7.6,80.0,1000.0,0.0,4.0,0,0.0,0,3,Clear,clear-night,"VEPT,42492099999"
2024-06-04,04:00,"Kankarbagh, Patna",31.0,42.3,28.0,84.11,0.0,0.0,,0,0,17.3,7.6,90.0,1001.0,0.0,4.0,0,0.0,0,3,Clear,clear-night,"VEPT,42492099999"
2024-06-04,05:00,"Kankarbagh, Patna",30.4,38.9,26.5,79.7,0.0,0.0,,0,0,6.1,10.0,102.0,1001.2,0.0,3.2,0,0.0,0,3,Clear,clear-day,"VEPT,42492099999"
2024-06-04,06:00,"Kankarbagh, Patna",31.0,42.3,28.0,84.11,0.0,0.0,,0,0,6.1,11.2,100.0,1002.0,0.0,4.0,10,0.0,0,5,Clear,clear-day,"VEPT,42492099999"
2024-06-04,07:00,"Kankarbagh, Patna",32.0,42.3,27.0,74.95,0.0,0.0,,0,0,3.2,14.8,100.0,1003.0,0.0,4.0,152,0.5,2,3,Clear,clear-day,"VEPT,42492099999"
2024-06-04,08:00,"Kankarbagh, Patna",32.5,41.4,26.0,68.91,0.0,0.0,,0,0,5.0,16.8,104.0,1002.9,0.0,4.6,370,1.3,4,3,Clear,clear-day,"42387099999,42488099999,VEPT,42492099999"
